comment,term
0,10
1,4
2,17
3,10
4,4
5,8
6,17
7,10
8,4
9,8
10,14
11,17
12,10
13,4
14,8
15,14
16,3
17,17
18,10
19,4
20,8
21,14
22,3
23,3
24,17
25,10
26,4
27,8
28,14
29,3
30,3
31,10
32,17
33,10
34,4
35,8
36,14
37,3
38,3
39,10
40,10
41,17
42,10
43,4
44,8
45,14
46,3
47,3
48,10
49,10
50,18
51,17
52,10
53,4
54,8
55,14
56,3
57,3
58,10
59,10
60,18
61,4
62,17
63,10
64,4
65,8
66,14
67,3
68,3
69,10
70,10
71,18
72,4
73,3
74,17
75,10
76,4
77,8
78,14
79,3
80,3
81,10
82,10
83,18
84,4
85,3
86,17
87,17
88,10
89,4
90,8
91,14
92,3
93,3
94,10
95,10
96,18
97,4
98,3
99,17
100,1
101,17
102,10
103,4
104,8
105,14
106,3
107,3
108,10
109,10
110,18
111,4
112,3
113,17
114,1
115,21
116,17
117,10
118,4
119,8
120,14
121,3
122,3
123,10
124,10
125,18
126,4
127,3
128,17
129,1
130,21
131,8
132,17
133,10
134,4
135,8
136,14
137,3
138,3
139,10
140,10
141,18
142,4
143,3
144,17
145,1
146,21
147,8
148,14
149,17
150,10
151,4
152,8
153,14
154,3
155,3
156,10
157,10
158,18
159,4
160,3
161,17
162,1
163,21
164,8
165,14
166,18
167,17
168,10
169,4
170,8
171,14
172,3
173,3
174,10
175,10
176,18
177,4
178,3
179,17
180,1
181,21
182,8
183,14
184,18
185,6
186,17
187,10
188,4
189,8
190,14
191,3
192,3
193,10
194,10
195,18
196,4
197,3
198,17
199,1
200,21
201,8
202,14
203,18
204,6
205,5
206,15
207,15
208,6
209,15
210,6
211,2
212,15
213,6
214,2
215,5
216,15
217,6
218,2
219,5
220,5
221,15
222,6
223,2
224,5
225,5
226,1
227,15
228,6
229,2
230,5
231,5
232,1
233,3
234,15
235,6
236,2
237,5
238,5
239,1
240,3
241,9
242,15
243,6
244,2
245,5
246,5
247,1
248,3
249,9
250,10
251,15
252,6
253,2
254,5
255,5
256,1
257,3
258,9
259,10
260,8
261,15
262,6
263,2
264,5
265,5
266,1
267,3
268,9
269,10
270,8
271,2
272,15
273,6
274,2
275,5
276,5
277,1
278,3
279,9
280,10
281,8
282,2
283,7
284,15
285,6
286,2
287,5
288,5
289,1
290,3
291,9
292,10
293,8
294,2
295,7
296,5
297,15
298,6
299,2
300,5
301,5
302,1
303,3
304,9
305,10
306,8
307,2
308,7
309,5
310,5
311,15
312,6
313,2
314,5
315,5
316,1
317,3
318,9
319,10
320,8
321,2
322,7
323,5
324,5
325,42
326,15
327,6
328,2
329,5
330,5
331,1
332,3
333,9
334,10
335,8
336,2
337,7
338,5
339,5
340,42
341,15
342,15
343,6
344,2
345,5
346,5
347,1
348,3
349,9
350,10
351,8
352,2
353,7
354,5
355,5
356,42
357,15
358,2
359,15
360,6
361,2
362,5
363,5
364,1
365,3
366,9
367,10
368,8
369,2
370,7
371,5
372,5
373,42
374,15
375,2
376,3
377,15
378,6
379,2
380,5
381,5
382,1
383,3
384,9
385,10
386,8
387,2
388,7
389,5
390,5
391,42
392,15
393,2
394,3
395,15
396,6
397,2
398,5
399,5
400,1
401,3
402,9
403,10
404,8
405,2
406,7
407,5
408,5
409,42
410,15
411,2
412,3
413,6
414,12
415,12
416,49
417,12
418,49
419,34
420,12
421,49
422,34
423,7
424,12
425,49
426,34
427,7
428,6
429,12
430,49
431,34
432,7
433,6
434,7
435,12
436,49
437,34
438,7
439,6
440,7
441,7
442,12
443,49
444,34
445,7
446,6
447,7
448,7
449,3
450,12
451,49
452,34
453,7
454,6
455,7
456,7
457,3
458,12
459,12
460,49
461,34
462,7
463,6
464,7
465,7
466,3
467,12
468,2
469,12
470,49
471,34
472,7
473,6
474,7
475,7
476,3
477,12
478,2
479,2
480,12
481,49
482,34
483,7
484,6
485,7
486,7
487,3
488,12
489,2
490,2
491,13
492,12
493,49
494,34
495,7
496,6
497,7
498,7
499,3
500,12
501,2
502,2
503,13
504,21
505,12
506,49
507,34
508,7
509,6
510,7
511,7
512,3
513,12
514,2
515,2
516,13
517,21
518,4
519,12
520,49
521,34
522,7
523,6
524,7
525,7
526,3
527,12
528,2
529,2
530,13
531,21
532,4
533,16
534,12
535,49
536,34
537,7
538,6
539,7
540,7
541,3
542,12
543,2
544,2
545,13
546,21
547,4
548,16
549,2
550,12
551,49
552,34
553,7
554,6
555,7
556,7
557,3
558,12
559,2
560,2
561,13
562,21
563,4
564,16
565,2
566,7
567,12
568,49
569,34
570,7
571,6
572,7
573,7
574,3
575,12
576,2
577,2
578,13
579,21
580,4
581,16
582,2
583,7
584,29
585,12
586,49
587,34
588,7
589,6
590,7
591,7
592,3
593,12
594,2
595,2
596,13
597,21
598,4
599,16
600,2
601,7
602,29
603,15
604,12
605,49
606,34
607,7
608,6
609,7
610,7
611,3
612,12
613,2
614,2
615,13
616,21
617,4
618,16
619,2
620,7
621,29
622,15
623,8
624,3
625,3
626,40
627,3
